Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR PSILCAN TOTSOILRES GSCAN GBHCAN WATCAPIL ROOTFRONT  
      0      0     3464.4426      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      2     53     3463.7869      2957.2825         0.3810         0.0000         0.0031         0.0000         0.3779         0.0034         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0010         0.0306         0.1792         1.0000       -18.4390       -82.4558       121.6730       -20.7789       685.8687       730.5177        19.2869       236.7066         0.0528        27.9920        31.0595        26.6499         0.1357         0.1380         0.0815  -2.7875661850   0.0000000716   0.1714932323   0.3923343718   0.0000000000   0.5401556492
      2     54     3464.1284      2957.6223         0.3810         0.0000         0.0031         0.0000         0.3779         0.0033         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0010         0.0318         0.1792         1.0000       -22.4145       -85.6522       128.4913       -20.4247       693.4606       740.3084        20.0968       245.4589         0.0528        27.6550        30.9993        26.6771         0.1366         0.1379         0.0815  -2.6927335262   0.0000000682   0.1709501445   0.4132929146   0.0000000000   0.5401556492
      2     55     3464.2178      2957.7100         0.1270         0.0000         0.0019         0.0000         0.1251         0.0032         0.0000         0.0001         0.0000        -0.0067         1.2100         0.0010         0.0328         0.1793         1.0000       -26.7940       -88.4196       135.3010       -20.0871       701.0652       750.1073        20.8791       254.2002         0.0528        27.3190        30.9423        26.7032         0.1368         0.1379         0.0815  -2.6113197803   0.0000000649   0.1722879857   0.4331890643   0.0000000000   0.5401556492
      2     56     3464.3098      2957.8000         0.1270         0.0000         0.0019         0.0000         0.1251         0.0030         0.0000         0.0001         0.0000        -0.0067         1.2100         0.0010         0.0305         0.1793         1.0000       -33.8050       -82.3535       133.2607       -17.1027       694.3310       743.7689        21.1196       251.3622         0.0528        25.9940        30.3324        26.7226         0.1371         0.1378         0.0815  -2.4682617188   0.0000000643   0.2173025310   0.4449394345   0.0000000000   0.5401556492
      2     57     3464.2783      2957.7668         0.0000         0.0000         0.0000         0.0000         0.0000         0.0028         0.0000         0.0001         0.0000        -0.0067         1.2100         0.0010         0.0283         0.1793         1.0000       -41.0643       -76.5067       131.5229       -13.9522       687.6892       737.4742        21.2666       248.7930         0.0528        24.6690        29.6815        26.7351         0.1369         0.1378         0.0814  -2.2827184200   0.0000000636   0.2806802988   0.4565853477   0.0000000000   0.5401556492
      2     58     3464.2446      2957.7312         0.0000         0.0000         0.0000         0.0000         0.0000         0.0029         0.0000         0.0001         0.0000        -0.0067         1.2100         0.0010         0.0301         0.1793         1.0000       -38.7649       -81.1354       136.9952       -17.0949       698.9348       750.4279        21.6671       256.5024         0.0528        25.1950        30.3621        26.7544         0.1367         0.1377         0.0811  -2.3707594872   0.0000000641   0.2543011308   0.4383426905   0.0000000000   0.5401556492
      2     59     3464.2097      2957.6946         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0001         0.0000        -0.0067         1.2100         0.0010         0.0317         0.1793         1.0000       -36.3993       -85.4879       142.1875       -20.3000       710.0315       762.8305        22.1846       263.5140         0.0528        25.7220        31.0635        26.7808         0.1366         0.1377         0.0806  -2.4424803257   0.0000000647   0.2286357284   0.4194779694   0.0000000000   0.5401556492
      2     60     3464.1729      2957.6558         0.0000         0.0000         0.0000         0.0000         0.0000         0.0031         0.0000         0.0001         0.0000        -0.0067         1.2100         0.0010         0.0339         0.1793         1.0000       -33.0705       -91.3064       148.3518       -23.9756       723.0809       776.8308        22.5695       271.4512         0.0528        26.5870        31.8726        26.8151         0.1364         0.1376         0.0798  -2.5213484764   0.0000000653   0.1922465563   0.4031126797   0.0000000000   0.5401556492
      2     61     3464.1333      2957.6143         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0067         1.2100         0.0010         0.0360         0.1793         1.0000       -29.8691       -96.8159       154.3355       -27.6499       736.0256       790.3122        22.8423       278.7470         0.0528        27.4520        32.6902        26.8572         0.1362         0.1376         0.0785  -2.6723124981   0.0000000659   0.1719910055   0.3859715164   0.0000000000   0.5401556492
      2     62     3464.0928      2957.5718         0.0000         0.0000         0.0000         0.0000         0.0000         0.0036         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0010         0.0373         0.1793         1.0000       -28.4264      -100.3742       153.6201       -24.8201       731.1606       783.2186        22.3896       275.7482         0.0528        27.4940        32.1339        26.8929         0.1360         0.1375         0.0778  -2.8943858147   0.0000000665   0.1705540121   0.3975192606   0.0000000000   0.5401556492
      2     63     3464.0503      2957.5276         0.0000         0.0000         0.0000         0.0000         0.0000         0.0037         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0010         0.0386         0.1793         1.0000       -26.5360      -104.0507       152.6494       -22.0635       726.0784       775.3794        21.6332       271.9355         0.0528        27.5370        31.5860        26.9223         0.1359         0.1375         0.0767  -3.0296804905   0.0000000672   0.1650793850   0.4085688591   0.0000000000   0.5401556492
      2     64     3464.0015      2957.4766         0.0000         0.0000         0.0000         0.0000         0.0000         0.0025         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0010         0.0471         0.1793         1.0000       -28.1053      -126.6722       185.9081       -31.1310       779.4154       831.2740        22.8135       308.9775         0.0528        28.8500        33.5479        26.9715         0.1357         0.1374         0.0704  -2.0675501823   0.0000000679   0.0754622445   0.3940919638   0.0000000000   0.5401556492
      2     65     3463.9417      2957.4150         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0010         0.0557         0.1793         1.0000       -28.9364      -149.7142       218.7229       -40.0725       832.4731       884.4834        23.5288       343.1324         0.0528        30.1630        35.5053        27.0399         0.1354         0.1374         0.0634  -2.4199230671   0.0000000686   0.0744199976   0.3757265508   0.0000000000   0.5401556492
      2     66     3463.8948      2957.3665         0.0000         0.0000         0.0000         0.0000         0.0000         0.0027         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0011         0.0439         0.1792         1.0000       -20.0048      -118.1930       167.1646       -28.9669       754.9200       797.9769        20.9599       281.6503         0.0528        29.5520        33.2130        27.0835         0.1352         0.1373         0.0688  -2.1943421364   0.0000000695   0.0754095316   0.3764119148   0.0000000000   0.5401556492
      2     67     3463.8599      2957.3296         0.0000         0.0000         0.0000         0.0000         0.0000         0.0025         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0012         0.0323         0.1792         1.0000       -11.0218       -87.0419       116.1514       -18.0884       678.5240       712.5373        17.1380       220.8588         0.0528        28.9400        30.9406        27.1029         0.1351         0.1373         0.0747  -2.0014870167   0.0000000702   0.0814887509   0.3755956292   0.0000000000   0.5401556492
