Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR PSILCAN TOTSOILRES GSCAN GBHCAN WATCAPIL ROOTFRONT  
      0      0     3464.4426      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1     35     3464.6250      2958.3345         0.0000         0.0000         0.0000         0.0000         0.0000         0.0031         0.0000         0.0001         0.0000        -0.0057         1.2100         0.0010         0.0411         0.1793         1.0000       -83.6912      -111.2324       220.3901       -25.4662       783.8475       842.2133        24.4160       345.8073         0.0521        23.9460        28.4824        23.2660         0.1448         0.1489         0.0688  -2.5116441250   0.0000000385   0.1941239834   0.6591451168   0.0000000000   0.5269851089
      1     36     3464.5632      2958.2710         0.0000         0.0000         0.0000         0.0000         0.0000         0.0036         0.0000         0.0001         0.0000        -0.0057         1.2100         0.0010         0.0578         0.1793         1.0000       -99.1159      -155.9878       293.8266       -38.7222       890.1158       959.9426        27.7868       432.8737         0.0521        25.6230        31.2994        23.3574         0.1445         0.1488         0.0619  -2.9368510246   0.0000000389   0.1624551564   0.6413539648   0.0000000000   0.5269851089
      1     37     3464.4839      2958.1897         0.0000         0.0000         0.0000         0.0000         0.0000         0.0027         0.0000         0.0001         0.0000        -0.0058         1.2100         0.0010         0.0767         0.1793         1.0000      -110.7473      -206.3651       368.4651       -51.3534       997.6459      1077.7534        30.2153       520.1950         0.0521        27.3000        34.0196        23.4752         0.1441         0.1487         0.0553  -2.2242138386   0.0000000395   0.0880990252   0.6241741776   0.0000000000   0.5269851089
      1     38     3464.4109      2958.1152         0.0000         0.0000         0.0000         0.0000         0.0000         0.0025         0.0000         0.0001         0.0000        -0.0058         1.2100         0.0012         0.0694         0.1793         1.0000       -94.7636      -186.8043       329.9980       -48.4303       948.8737      1027.1736        30.7886       479.4478         0.0521        27.2830        33.5397        23.5854         0.1438         0.1486         0.0610  -2.0441596508   0.0000000401   0.0754384026   0.6010454297   0.0000000000   0.5269851089
      1     39     3464.3503      2958.0525         0.0000         0.0000         0.0000         0.0000         0.0000         0.0025         0.0000         0.0001         0.0000        -0.0058         1.2100         0.0014         0.0589         0.1793         1.0000       -84.2811      -158.5561       289.8694       -47.0320       900.4071       975.7012        30.2127       435.9003         0.0521        27.2650        33.3678        23.6915         0.1436         0.1485         0.0663  -2.0508904457   0.0000000407   0.0754430145   0.5758022070   0.0000000000   0.5269851089
      1     40     3464.2986      2957.9988         0.0000         0.0000         0.0000         0.0000         0.0000         0.0024         0.0000         0.0001         0.0000        -0.0059         1.2100         0.0015         0.0490         0.1793         1.0000       -73.0972      -132.0257       248.2503       -43.1272       846.3574       917.2231        28.9709       389.2196         0.0521        26.9370        32.6686        23.7881         0.1433         0.1483         0.0716  -1.9651862383   0.0000000413   0.0754678175   0.5550473928   0.0000000000   0.5269851089
      1     41     3464.2554      2957.9536         0.0000         0.0000         0.0000         0.0000         0.0000         0.0026         0.0000         0.0001         0.0000        -0.0059         1.2100         0.0017         0.0407         0.1793         1.0000       -60.2419      -109.6552       208.1708       -38.2738       792.6505       858.0576        27.0469       343.1339         0.0521        26.6090        31.7605        23.8734         0.1431         0.1482         0.0766  -2.1754496098   0.0000000418   0.0941891521   0.5324286222   0.0000000000   0.5269851089
      1     42     3464.2175      2957.9138         0.0000         0.0000         0.0000         0.0000         0.0000         0.0038         0.0000         0.0001         0.0000        -0.0059         1.2100         0.0018         0.0344         0.1793         1.0000       -57.2154       -92.8186       182.7325       -32.6980       755.0607       815.5043        25.1933       312.0549         0.0521        25.9790        30.6885        23.9457         0.1429         0.1481         0.0790  -3.1134893894   0.0000000422   0.1641726941   0.5400233865   0.0000000000   0.5269851089
      1     43     3464.1848      2957.8794         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0059         1.2100         0.0018         0.0289         0.1793         1.0000       -52.7262       -77.9551       157.4725       -26.7902       717.1718       771.2244        22.8600       279.6665         0.0521        25.3490        29.5327        24.0045         0.1427         0.1480         0.0802  -2.7446475029   0.0000000427   0.1609563977   0.5492346883   0.0000000000   0.5269851089
      1     44     3464.1360      2957.8289         0.0000         0.0000         0.0000         0.0000         0.0000         0.0026         0.0000         0.0001         0.0000        -0.0059         1.2100         0.0020         0.0457         0.1793         1.0000       -81.5568      -123.0209       253.4624       -48.8850       863.7089       939.7377        29.9357       400.2972         0.0521        27.5610        34.2046        24.1107         0.1425         0.1479         0.0733  -2.1104195118   0.0000000431   0.0754336268   0.5447025895   0.0000000000   0.5269851089
      1     45     3464.0681      2957.7590         0.0000         0.0000         0.0000         0.0000         0.0000         0.0031         0.0000         0.0001         0.0000        -0.0060         1.2100         0.0021         0.0648         0.1793         1.0000      -107.0732      -173.4529       350.5602       -70.0341      1012.0146      1103.7194        34.4527       516.1890         0.0521        29.7740        38.7331        24.2616         0.1422         0.1478         0.0632  -2.5808601379   0.0000000436   0.0697400942   0.5366736650   0.0000000000   0.5269851089
      1     46     3463.9895      2957.6787         0.0000         0.0000         0.0000         0.0000         0.0000         0.0032         0.0000         0.0001         0.0000        -0.0060         1.2100         0.0024         0.0752         0.1793         1.0000      -129.8056      -200.7887       412.4978       -81.9043      1105.4691      1205.6521        36.3742       588.8667         0.0521        31.2170        41.3764        24.4369         0.1419         0.1477         0.0572  -2.6597223282   0.0000000442   0.0614843890   0.5524144173   0.0000000000   0.5269851089
      1     47     3463.9009      2957.5879         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0060         1.2100         0.0026         0.0854         0.1793         1.0000      -153.9911      -227.3989       474.8655       -93.4756      1199.6934      1307.0074        37.1076       660.7742         0.0521        32.6600        43.9873        24.6357         0.1415         0.1475         0.0513  -2.7136199474   0.0000000449   0.0546650849   0.5669140220   0.0000000000   0.5269851089
      1     48     3463.8154      2957.5007         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0060         1.2100         0.0028         0.0820         0.1793         1.0000      -167.3144      -218.2697       480.4355       -94.8518      1210.3495      1319.0219        37.6955       667.6771         0.0521        32.4670        44.4936        24.8358         0.1412         0.1474         0.0506  -2.7109301090   0.0000000457   0.0552870221   0.5730451941   0.0000000000   0.5269851089
      1     49     3463.7332      2957.4165         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0061         1.2100         0.0030         0.0790         0.1793         1.0000      -180.1884      -210.3310       486.4479       -95.9282      1221.0425      1330.7698        37.7953       674.7259         0.0521        32.2730        44.9382        25.0363         0.1408         0.1473         0.0498  -2.7051897049   0.0000000465   0.0561327636   0.5788794160   0.0000000000   0.5269851089
      1     50     3463.6443      2957.3257         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0061         1.2100         0.0033         0.0850         0.1792         1.0000      -186.4380      -225.7107       516.9912      -104.8423      1274.1871      1386.4749        37.2304       709.6382         0.0521        33.4620        47.0273        25.2545         0.1405         0.1472         0.0463  -2.7347145081   0.0000000472   0.0514114536   0.5681077838   0.0000000000   0.5269851089
      1     51     3463.5508      2957.2302         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0061         1.2100         0.0035         0.0911         0.1792         1.0000      -192.1296      -241.4678       547.3444      -113.7475      1327.6223      1441.5369        36.4426       743.4948         0.0521        34.6520        49.1368        25.4903         0.1401         0.1471         0.0425  -2.7557177544   0.0000000480   0.0471220128   0.5571144223   0.0000000000   0.5269851089
      1     52     3463.4612      2957.1389         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0062         1.2100         0.0038         0.0854         0.1792         1.0000      -176.1920      -226.1512       515.3275      -112.9846      1290.8047      1400.8126        36.9095       707.5759         0.0521        35.3690        49.2368        25.7222         0.1398         0.1470         0.0450  -2.7720532417   0.0000000489   0.0441369899   0.5458887219   0.0000000000   0.5269851089
      1     53     3463.3777      2957.0535         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0062         1.2100         0.0040         0.0802         0.1792         1.0000      -159.8792      -212.3592       484.0594      -111.8216      1254.1089      1359.8838        36.8675       672.1146         0.0521        36.0870        49.2475        25.9497         0.1395         0.1468         0.0476  -2.7821717262   0.0000000497   0.0414930396   0.5342466235   0.0000000000   0.5269851089
      1     54     3463.2949      2956.9690         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0062         1.2100         0.0042         0.0795         0.1792         1.0000      -169.8809      -210.5681       493.8551      -113.4062      1270.6003      1375.7690        36.2385       681.7285         0.0521        36.3150        49.8307        26.1787         0.1392         0.1467         0.0458  -2.7813541889   0.0000000505   0.0409583375   0.5417848825   0.0000000000   0.5269851089
      1     55     3463.2117      2956.8840         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0063         1.2100         0.0044         0.0789         0.1792         1.0000      -179.8987      -208.9316       503.7162      -114.8862      1287.0238      1391.1465        35.5677       690.9671         0.0521        36.5440        50.3938        26.4091         0.1388         0.1466         0.0440  -2.7798657417   0.0000000513   0.0404362604   0.5490778685   0.0000000000   0.5269851089
